21	31	43	56	60
5	35	37	41	66
2	14	21	28	55
3	50	57	58	60
11	29	36	58	67
9	15	24	39	41
31	35	41	65	66
23	25	28	30	75
3	49	61	62	68
37	39	53	68	75
3	12	35	37	63
10	11	29	47	56
8	26	29	36	47
13	18	22	49	62
4	5	11	51	59
27	45	49	51	52
2	31	46	58	65
41	58	68	72	73
14	18	58	59	68
4	10	31	56	66
2	5	10	20	38
3	7	44	63	67
13	15	35	62	74
12	20	27	38	75
37	49	50	56	57
12	20	25	50	51
26	32	44	45	58
31	35	56	59	63
14	15	32	68	72
5	26	27	44	57
18	31	39	45	55
11	22	25	58	69
5	6	17	33	68
7	42	53	58	71
4	20	44	65	74
6	45	50	65	66
2	6	8	52	66
15	23	26	45	66
7	49	53	60	64
9	11	42	44	50
30	48	55	68	73
10	14	19	30	73
8	22	30	42	45
11	27	44	45	58
7	50	54	61	75
2	23	32	45	55
17	21	36	58	70
8	26	41	61	73
10	36	47	63	74
5	15	22	26	64
6	11	32	46	68
3	7	25	68	71
15	18	29	41	50
31	33	35	41	69
24	25	29	47	67
22	27	55	58	63
17	18	61	66	74
11	21	42	62	71
9	21	25	66	72
14	30	33	36	44
11	17	21	36	74
10	12	21	29	65
3	14	15	25	48
1	39	52	69	72
20	27	38	49	66
2	9	11	22	23
7	22	27	41	49
6	16	17	25	36
1	40	42	56	62
8	19	26	56	67
4	35	36	52	68
6	13	38	56	70
12	23	33	47	50
11	17	34	43	50
33	50	64	71	72
6	15	16	28	49
24	27	45	51	54
19	24	30	35	72
6	17	30	31	41
20	30	62	65	74
10	12	26	60	62
8	35	61	68	75
28	32	33	40	46
2	19	44	51	57
1	38	53	63	66
3	8	29	57	68
12	15	20	52	71
2	7	33	39	53
13	15	21	41	72
5	44	54	59	63
13	35	40	60	68
2	5	35	40	54
17	21	39	52	57
19	20	36	41	46
5	11	31	50	67
7	20	35	49	56
17	34	35	51	65
28	30	38	45	51
3	8	38	51	64
8	21	30	61	62
4	14	29	31	47
17	58	63	64	66
8	9	21	63	75
7	9	24	38	52
2	38	48	61	68
6	25	35	38	52
25	32	37	45	70
9	26	27	29	74
17	41	51	53	56
16	29	44	69	74
10	31	35	50	72
8	17	20	45	71
17	18	31	35	59
12	14	18	24	61
9	12	29	37	67
2	19	30	38	70
16	20	39	56	59
5	7	25	50	59
26	42	47	61	73
7	17	37	49	73
14	20	43	54	69
18	25	47	51	61
6	23	24	28	62
11	21	40	50	70
15	25	29	44	51
20	25	55	62	74
7	18	37	38	39
1	4	36	48	57
11	39	51	57	75
15	27	29	31	48
29	41	53	54	70
2	17	31	39	47
21	25	40	46	56
14	27	39	50	69
20	28	49	51	52
7	13	25	51	70
4	6	23	55	75
3	42	46	56	71
1	7	44	68	73
9	31	33	46	64
2	27	41	50	75
16	32	39	53	57
3	15	19	62	74
1	29	33	34	55
21	26	33	48	73
27	37	54	66	69
14	18	48	54	71
18	26	30	44	68
5	8	57	59	73
6	19	34	38	70
4	11	12	35	46
33	38	40	46	49
25	28	33	41	69
13	45	52	53	57
31	38	52	65	71
7	11	59	62	63
9	10	34	37	73
9	28	40	57	65
2	19	21	42	60
14	16	17	28	48
5	6	37	55	74
28	29	33	36	45
14	26	27	32	36
12	22	46	56	74
20	21	38	54	66
17	24	27	48	75
19	24	26	40	68
11	50	51	70	75
18	41	50	68	70
9	31	34	41	49
32	54	65	66	71
25	48	51	65	72
34	61	66	67	68
36	37	38	52	62
20	23	30	44	59
6	13	21	49	50
11	14	54	57	63
15	17	20	35	55
20	41	42	45	49
29	46	53	64	73
8	19	20	55	73
6	8	22	46	68
16	51	52	56	58
3	34	54	65	66
8	24	25	26	30
1	4	31	36	54
11	16	19	31	48
3	12	36	54	70
5	18	28	54	74
12	19	20	44	66
4	41	44	56	69
2	43	52	62	63
22	37	45	65	73
2	7	46	61	66
10	11	31	41	44
28	32	41	51	71
22	28	41	46	60
25	37	58	69	75
1	34	43	44	63
6	15	17	39	56
13	21	28	34	40
2	22	34	62	72
6	45	73	69	29
47	23	53	33	4
43	42	5	58	14
18	6	13	20	31
3	50	13	40	33
1	12	32	34	13
64	29	8	43	30
73	5	10	60	55
34	38	35	49	19
43	69	33	47	30
35	24	13	34	55
32	27	58	17	24
35	30	46	37	33
37	69	61	28	5
45	4	53	75	73
58	31	11	27	60
16	59	33	28	23
38	42	70	26	58
30	68	3	53	45
48	14	26	51	39
33	69	58	45	20
68	29	12	42	33
32	75	30	21	9
67	4	75	56	58
7	11	68	60	33
32	39	51	62	75
28	37	23	71	56
3	30	6	64	29
3	27	14	72	62
61	53	54	17	37
54	67	42	63	8
41	24	7	53	9
20	54	59	31	56
74	58	10	44	75
41	11	40	59	20
10	47	54	6	44
49	16	14	23	53
6	43	33	39	21
30	2	39	28	38
60	69	39	30	21
12	48	65	1	14
1	43	36	15	8
41	34	2	26	15
47	68	19	27	67
13	34	48	53	63
49	3	51	33	35
51	33	49	59	22
69	44	75	47	49
45	69	1	66	43
31	32	49	55	58
23	57	71	9	17
40	16	53	59	47
48	74	46	53	61
29	32	10	46	44
39	19	31	24	45
38	66	7	46	57
24	49	67	9	8
44	48	12	43	66
24	7	74	28	65
64	74	27	60	7
42	45	39	48	36
42	65	37	50	24
54	30	29	66	18
50	21	57	47	30
16	53	72	14	26
8	62	5	1	25

